name,rating,formatted_phone_number,international_phone_number,website,user_ratings_total,types,formatted_address,keyword
興旺食品批發,3,6818 3283,+852 6818 3283,http://www.dkjmall.com/,1, point_of_interest establishment,"Kwun Tong, Hong Kong",零食销售
Bei Zhicheng Trading as Toko Indonesia Tak Po,3,6818 3283,+852 6818 3283,http://www.dkjmall.com/,1, point_of_interest establishment,"G/F, 371 Ki Lung St, Sham Shui Po, Hong Kong",零食销售
PARKnSHOP Click & Collect (油麻地金華大廈),3.6,2750 2898,+852 2750 2898,http://www.parknshop.com/,142, supermarket grocery_or_supermarket food point_of_interest store establishment,"九龍油麻地廣東道831號金華大廈F及G座地下 G/F, Block F&G, Kam Wah Building, No. 831 Canton Rd, Yau Ma Tei, Hong Kong",零食销售
PrizeMart,3.7,2406 8879,+852 2406 8879,http://www.prizemart.com/,133, supermarket grocery_or_supermarket meal_takeaway restaurant food point_of_interest store establishment,"143 Sai Yee St, Mong Kok, Hong Kong",零食销售
Cheung Hing Supermarket,4.2,2613 1208,+852 2613 1208,http://www.prizemart.com/,31, supermarket grocery_or_supermarket food point_of_interest store establishment,"Un Chau St, Cheung Sha Wan, Hong Kong",零食销售
零食物語,1,2797 9967,+852 2797 9967,http://www.okashiland.com/index.php,1, grocery_or_supermarket food point_of_interest store establishment,"Hong Kong, Ma On Shan, Sunshine City, 2樓2E-78號舖",零食销售
六口記士多,1,2797 9967,+852 2797 9967,http://www.okashiland.com/index.php,1, grocery_or_supermarket food point_of_interest store establishment,"Hong Kong, Tsuen Wan, Sha Tsui Rd, Thriving Industrial Centre, 號地下 4A 舖",零食销售
DON DON DONKI OP Mall,4.1,2652 2611,+852 2652 2611,https://www.dondondonki.com/hk/,2166, supermarket grocery_or_supermarket food point_of_interest store establishment,"100 Tai Ho Road SHOP 2001-2005, 2010-2017, 2056-2097, 2/F, OP Mall, Tsuen Wan, Hong Kong",零食销售
Kaneda Well Food Mart,4.4,2321 8611,+852 2321 8611,https://www.dondondonki.com/hk/,12, grocery_or_supermarket food point_of_interest store establishment,"No 301, 3/F, Tsz Wan Shan Shopping Centre, Wong Tai Sin, Tsz Wan Shan, Hong Kong",零食销售
PrizeMart,3.6,2406 8879,+852 2406 8879,http://www.prizemart.com/,201, supermarket grocery_or_supermarket meal_takeaway restaurant food point_of_interest store establishment,"Amber House, 777 號 Nathan Rd, Mong Kok, Hong Kong",零食销售
金田井·駄菓子屋,2.4,2488 4998,+852 2488 4998,http://www.facebook.com/kanedaWell,5, grocery_or_supermarket food point_of_interest store establishment,"Tuen Mun, Hong Kong",零食销售
PARKnSHOP,3.6,2332 1049,+852 2332 1049,http://www.parknshop.com/,59, supermarket grocery_or_supermarket food point_of_interest store establishment,"Full Win Comm Ctr, 573 Nathan Rd, Kln, Yau Ma Tei, Hong Kong",零食销售
PARKnSHOP,3.5,2393 0662,+852 2393 0662,http://www.parknshop.com/,82, supermarket grocery_or_supermarket food point_of_interest store establishment,"Hong Kong, Mong Kok, Tong Mi Rd, No. 22號HK 九龍 G/F Cheong Fai Mansion",零食销售
PrizeMart,3.7,2406 8879,+852 2406 8879,http://www.prizemart.com/,224, supermarket grocery_or_supermarket meal_takeaway restaurant food point_of_interest store establishment,"446 Nathan Rd, Yau Ma Tei, Hong Kong",零食销售
"Taiwan King of Kings Food Co., Ltd",4,2382 0678,+852 2382 0678,http://www.kingofkingsfood.com/,87, grocery_or_supermarket restaurant food point_of_interest store establishment,"65號 Hau Wong Rd, Kowloon City, Hong Kong",零食销售
Koon Wah Provisions,2.6,2398 3100,+852 2398 3100,http://www.koonwahfood.com.hk/,12, grocery_or_supermarket food point_of_interest store establishment,"Allied Plaza, G/F, G28, Prince Edward, Hong Kong",零食销售
新世界韓國食品 New World Mart,4,2369 5074,+852 2369 5074,https://www.coreanmart.com/,351, grocery_or_supermarket food point_of_interest store establishment,"Hong Kong, 尖沙咀金巴利街5號G/F",零食销售
U購 USelect,3.2,2763 5398,+852 2763 5398,http://www.uselect.com.hk/,42, supermarket grocery_or_supermarket food point_of_interest store establishment,"Hong Kong, Kwun Tong, Ngau Tau Kok Rd, 297號花園大廈玉蓮臺第3座地下15-17號舖",零食销售
甘薯葉素食超市（太子） Batata Greens Veggie Store (Prince Edward),4.5,2485 3523,+852 2485 3523,http://www.batatagreens.com.hk/,31, supermarket grocery_or_supermarket food health point_of_interest store establishment,"太子洗衣街241-243號地下A舖, Mong Kok, Hong Kong",零食销售
PARKnSHOP,3.5,2398 2648,+852 2398 2648,http://www.parknshop.com/,143, supermarket grocery_or_supermarket food point_of_interest store establishment,"New Kowloon Plaza, Mongkok, Kln, Mong Kok, Hong Kong",零食销售
Goodies Holdings Ltd (Kowloon City Store),4.3,2382 8327,+852 2382 8327,http://www.goodiesfood.com.hk/home/index.php,24, grocery_or_supermarket food point_of_interest store establishment,"18號 Nga Tsin Long Rd, Kowloon City, Hong Kong",零食销售
壽桃專門店,4.7,2217 6665,+852 2217 6665,https://sautao.com/,3, grocery_or_supermarket food point_of_interest store establishment,"Hong Kong, 元朗同樂街13號地下前鋪",零食销售
Gritus 智能售賣機,5,3996 8235,+852 3996 8235,http://www.gritus.com/,8, point_of_interest store establishment,"Bank Centre Mall, 636 Nathan Rd, Mong Kok, Hong Kong",零食销售
優之良品,5,2470 6061,+852 2470 6061,https://www.ajiichiban.com.hk/company.php,8, grocery_or_supermarket food point_of_interest store establishment,"Whole Block, No, 82 Castle Peak Road (Yuen Long), Yuen Long, Hong Kong",零食销售
Smart CBD | 亞洲最大CBD專門店 | CBD HK Specialty Store | 觀塘分店 Kwun Tong Shop,5,2791 6186,+852 2791 6186,http://smartcbd.hk/,8, food health point_of_interest store establishment,"Shop No.136, 1/F, Kwun Tong Plaza, No.68 Hoi Yuen Rd, Kwun Tong, Hong Kong",零食销售
Lemon King,4.1,3547 2331,+852 3547 2331,https://www.lemonking.com.hk/,1086, grocery_or_supermarket meal_takeaway restaurant food point_of_interest store establishment,"G/F, 18 Wing Kut St, Sheung Wan, Hong Kong",零食销售
錦記糧油食品,4,2404 7199,+852 2404 7199,http://www.kamkeefood.com/,92, grocery_or_supermarket food point_of_interest store establishment,"Hong Kong, Tuen Mun, Castle Peak Road-Castle Peak Bay, Come On Building, 地下10號舖",零食销售
PrizeMart,3.5,2406 8879,+852 2406 8879,http://www.prizemart.com/,48, supermarket grocery_or_supermarket meal_takeaway restaurant food point_of_interest store establishment,"13 San Kung St, Sheung Shui, Hong Kong",零食销售
PARKnSHOP,3.5,2907 1120,+852 2907 1120,http://www.parknshop.com/,60, supermarket grocery_or_supermarket food point_of_interest store establishment,"G/F, Site 2 of Charming Garden, No. 8 Hoi Ting Rd, Tai Kok Tsui, Hong Kong",零食销售
Mr Fresh,3.5,2907 1120,+852 2907 1120,http://www.parknshop.com/,60, supermarket grocery_or_supermarket food point_of_interest store establishment,"Hong Kong, 大埔廣福道97號B舖",零食销售
