name,rating,formatted_phone_number,international_phone_number,website,user_ratings_total,types,formatted_address,keyword
簡約養生有限公司 (Pristine Living Ltd): 天然染髮、有機嬰兒產品等,5,2388 1983,+852 2388 1983,https://www.pristine.hk/,3, grocery_or_supermarket food point_of_interest store establishment,"Hong Kong, Kwai Fong, Kwai Fung Cres, 25 - 31號, Marvel Industrial Building Block A, 8樓K室",零食经销
Cheong Kee Provisions (HK) Co. Ltd.,5,2699 4286,+852 2699 4286,http://www.ckf.com.hk/,3, point_of_interest establishment,"Unit 16, 18/F, Block B, Wah Tat Industrial Centre, 8 Wah Sing Street, Kwai Chung, New Territories, Kwai Chung, Hong Kong",零食经销
Maze Limited,5,2524 2868,+852 2524 2868,http://www.apmaze.com.hk/,3, food point_of_interest establishment,"148 Wing Lok St, Sheung Wan, Hong Kong",零食经销
Ozakka 機不雜食 - 有機產品 | 天然產品 | 健康產品 | 有機網店 | 有機天然健康產品網上商店,5,3480 6816,+852 3480 6816,https://www.ozakka.com/,2, food health point_of_interest store establishment,"Hong Kong, Kwai Chung, Container Port Rd, 88號, Ever Gain Plaza Tower 2, Tower 1 11樓01室",零食经销
M store 士多,5,3480 6816,+852 3480 6816,https://www.facebook.com/pages/category/Charity-Organization/M-Store-%E9%A6%99%E6%B8%AF%E5%95%B1%E5%A3%AB%E5%A4%9A-103279364712948/,2, convenience_store food point_of_interest store establishment,"Hong Kong, Yau Ma Tei, 旺角登打士街35A號B2",零食经销
Wing Wah,4,2390 6028,+852 2390 6028,http://www.wingwah.com/,99, bakery food point_of_interest store establishment,"662 Nathan Rd, Mong Kok, Hong Kong",零食经销
UNY,3.8,2337 1663,+852 2337 1663,http://www.apitauny.com.hk/,898, supermarket department_store shopping_mall grocery_or_supermarket food point_of_interest store establishment,"198 Junction Rd, Wang Tau Hom, Hong Kong",零食经销
Seven Sum Market - 七和市集 (寵物茶記),4,5424 0077,+852 5424 0077,https://www.sevensummarket.com/,1, pet_store point_of_interest store establishment,"Hong Kong, 鑽石山六合街23號萬昌中心6樓602室",零食经销
正記啤酒汽水批發中心,4,3526 1646,+852 3526 1646,http://www.35261646.com.hk/,10, point_of_interest establishment,"Hong Kong, Kwai Chung, Tai Lin Pai Rd, 162號金龍工業中心二座地下A室",零食经销
Wing Wah Cake Shop,3.8,2780 7899,+852 2780 7899,http://www.wingwah.com/,34, bakery food point_of_interest store establishment,"478號 Nathan Rd, Yau Ma Tei, Hong Kong",零食经销
Four Seas Mercantile Ltd,3,2219 5000,+852 2219 5000,http://www.fourseasgroup.com.hk/,1, food point_of_interest establishment,"Sze Chow Holdings Building, 1號 Hong Ting Rd, Sai Kung, Hong Kong",零食经销
Cheung Sha Wan Wholesale Vegetable Market,3,2386 0879,+852 2386 0879,http://www.vmo.org/tc/index/page_about/item_market/part_market2/,37, point_of_interest establishment,"757 Lai Chi Kok Rd, Cheung Sha Wan, Hong Kong",零食经销
onlineheungkung,5,3590 5629,+852 3590 5629,https://onlineheungkung.com/,2, point_of_interest establishment,"Hong Kong, Lai Chi Kok, Castle Peak Rd, 489​​-491號, Hong Kong Industrial Centre Block B, 7樓B7室",零食经销
臺灣禮籃 (海邊走走),4.9,6031 3338,+852 6031 3338,https://www.taiwangiftbaskets.com/,20, point_of_interest clothing_store store establishment,"VWalk L2-70, Sham Shui Po, Hong Kong",零食经销
PETDOGHK.COM ONLINE PET SHOP 天然健康寵物食品速遞 - 售賣天然健康貓糧狗糧,4,2565 1523,+852 2565 1523,http://www.petdoghk.com/,2, pet_store point_of_interest store establishment,"Jing Ho Industrial Building, 78-84 Wang Lung St, Tsuen Wan, Hong Kong",零食经销
Tang Hoi Moon Kee Company,4.3,2544 6464,+852 2544 6464,http://www.tang1968.com/,34, food point_of_interest establishment,"175 Wing Lok St, Sheung Wan, Hong Kong",零食经销
Wing Wah Cake Shop,4.3,2544 6464,+852 2544 6464,http://www.wingwah.com/,3, bakery food point_of_interest store establishment,"Shop 20, 1/F, China Hong Kong City, 33 Canton Road, Tsim Sha Tsui, Kowloon, Tsim Sha Tsui, Hong Kong",零食经销
榮華餅家,2.8,2397 8098,+852 2397 8098,http://www.wingwah.com/,4, bakery food point_of_interest store establishment,"Hong Kong, Prince Edward, Nathan Rd, 745-747號號 金 都 商場 地下 G20 號 舖",零食经销
Ho King Shopping Centre,3.3,2397 8098,+852 2397 8098,https://www.hongkong-guides.com/hokingcommercialbuilding,1592, shopping_mall premise point_of_interest store establishment,"Ho King Commercial Centre, 2-16號 Fa Yuen St, Mong Kok, Hong Kong",零食经销
Garden Gallery,4.3,2386 4231,+852 2386 4231,http://www.garden.com.hk/,4, bakery food point_of_interest store establishment,"Garden Bakery, 58 Castle Peak Rd, Lei Cheng Uk, Hong Kong",零食经销
