name,rating,formatted_phone_number,international_phone_number,website,user_ratings_total,types,formatted_address,keyword
正隆行,3.7,5300 0170,+852 5300 0170,https://znh.business.site/?utm_source=gmb&utm_medium=referral,105, grocery_or_supermarket food point_of_interest store establishment,"地下1號舖, Nam Wo Hong Building, Wing Lok St, Sheung Wan, Hong Kong",零食贸易
Four Seas Mercantile Ltd,3,2219 5000,+852 2219 5000,http://www.fourseasgroup.com.hk/,1, food point_of_interest establishment,"Sze Chow Holdings Building, 1號 Hong Ting Rd, Sai Kung, Hong Kong",零食贸易
Kaneda Well Food Mart,4.4,2321 8611,+852 2321 8611,http://www.fourseasgroup.com.hk/,12, grocery_or_supermarket food point_of_interest store establishment,"No 301, 3/F, Tsz Wan Shan Shopping Centre, Wong Tai Sin, Tsz Wan Shan, Hong Kong",零食贸易
水晶屋 Crystal House,3,4611 4484,+852 4611 4484,http://www.crystalhouse.com.hk/,1, grocery_or_supermarket liquor_store food point_of_interest store establishment,"Shop 139, 1/F, The Capital, 61 Chatham Rd S, Tsim Sha Tsui, Hong Kong",零食贸易
Cheung Wah Co.,5,4611 4484,+852 4611 4484,http://www.crystalhouse.com.hk/,1, point_of_interest establishment,"Well on Garden Plaza Yuk Nga Lane Tseung Kwan O KL, Yau Yue Wan, Hong Kong",零食贸易
Hui Rui Supermarket,5,2331 8257,+852 2331 8257,http://www.viso.com.hk/,1, supermarket grocery_or_supermarket food point_of_interest store establishment,"15 Yin Chong St, Mong Kok, Hong Kong",零食贸易
Protex (HK) Trading Limited,5,3568 5649,+852 3568 5649,http://www.protex-hkt.com/,1, point_of_interest establishment,"Flat D, 7/F, King Palace Plaza, 55 King Yip St, Kwun Tong, Hong Kong",零食贸易
佳成食品批發公司 Kai Shing Food Wholesale Company,5,3705 7504,+852 3705 7504,http://www.protex-hkt.com/,1, point_of_interest establishment,"Hong Kong, Kwai Chung, 永業街14-20號華榮工業大廈20C室",零食贸易
Candy House Company,5,2607 0851,+852 2607 0851,http://www.protex-hkt.com/,1, point_of_interest establishment,"No 211, 2/F, Wing A, Hin Keng Shopping Centre, Tai Wai, Sha Tin, Tai Wai, Hong Kong",零食贸易
金田井駄菓子屋,4,2607 0851,+852 2607 0851,http://www.protex-hkt.com/,3, grocery_or_supermarket food point_of_interest store establishment,"31號 Tin King Rd, Tuen Mun, Hong Kong",零食贸易
Luk Kam Kee,3.8,2730 1368,+852 2730 1368,http://www.protex-hkt.com/,17, grocery_or_supermarket food point_of_interest store establishment,"Shop No. 1, G/F., Fu Lee Commercial Building, 14-20 Pilkem St, Jordan, Hong Kong",零食贸易
海明食品,3.8,9773 9032,+852 9773 9032,http://www.protex-hkt.com/,17, grocery_or_supermarket food health point_of_interest store establishment,"Hong Kong, Kwai Chung, Castle Peak Road-Kwai Chung, 404號號B舖地下",零食贸易
正隆行 灣仔分店,4.2,2865 1210,+852 2865 1210,http://znheshop.com/,5, grocery_or_supermarket food point_of_interest store establishment,"174 Hennessy Rd, Wan Chai, Hong Kong",零食贸易
Shiu Heung Yuen Bakery,3.4,2717 3421,+852 2717 3421,https://www.walnut.com.hk/,5, food point_of_interest store establishment,"Hong Kong, Mong Kok, 彌敦道678號永安百貨地庫專賣亭",零食贸易
四州集團,2,2219 5000,+852 2219 5000,https://www.walnut.com.hk/,1, point_of_interest establishment,"21, 23號 Wang Tai Rd, Kowloon Bay, Hong Kong",零食贸易
South China Food Distribution Co.,5,8206 3623,+852 8206 3623,https://www.walnut.com.hk/,1, point_of_interest store establishment,"Mai Tak Industrial Building, 221號 Wai Yip St, Kwun Tong, Hong Kong",零食贸易
New Base Trading Co,5,2415 1258,+852 2415 1258,http://newbase.com.hk/,1, point_of_interest establishment,"Hong Kong, Tsuen Wan, Texaco Rd, 220-248號, Tsuen Wan Industrial Centre, 18樓1806室",零食贸易
Koon Wah Provisions,2.6,2398 3100,+852 2398 3100,http://www.koonwahfood.com.hk/,12, grocery_or_supermarket food point_of_interest store establishment,"Allied Plaza, G/F, G28, Prince Edward, Hong Kong",零食贸易
Hokkaido Mart Trading Company Limited,4,2384 0618,+852 2384 0618,http://www.hokkaidomart.com/,1, point_of_interest store establishment,"Hong Kong, Lai Chi Kok, Castle Peak Rd, 489-491號, Hong Kong Industrial Centre Block C, 3樓18A室",零食贸易
新世界韓國食品 New World Mart,4,2369 5074,+852 2369 5074,https://www.coreanmart.com/,351, grocery_or_supermarket food point_of_interest store establishment,"Hong Kong, 尖沙咀金巴利街5號G/F",零食贸易
Koon Wah Food & Preserved Fruit Factory Limited,4,2598 0286,+852 2598 0286,http://www.koonwahfood.com.hk/,351, grocery_or_supermarket food point_of_interest store establishment,"Hong Kong, Wan Chai, Johnston Rd, 113號修頓中心6A號",零食贸易
錦記糧油食品,4,2404 7199,+852 2404 7199,http://www.kamkeefood.com/,92, grocery_or_supermarket food point_of_interest store establishment,"Hong Kong, Tuen Mun, Castle Peak Road-Castle Peak Bay, Come On Building, 地下10號舖",零食贸易
Prosperity Trading (HK) Limited,4,2545 4022,+852 2545 4022,http://www.kamkeefood.com/,92, point_of_interest establishment,"Hong Kong, 上環文咸東街79-85號文咸中心10樓",零食贸易
Sei Hoi Advance Trading Ltd,4,2898 9161,+852 2898 9161,http://www.kamkeefood.com/,92, point_of_interest establishment,"Manhattan Place, 23號 Wang Tai Rd, Kowloon Bay, Hong Kong",零食贸易
Zhing Nong Hong,3.3,2614 7216,+852 2614 7216,http://znheshop.com/,6, grocery_or_supermarket food point_of_interest store establishment,"21 Tai Ho Rd, Tsuen Wan, Hong Kong",零食贸易
